"source_table","source_column","foreign_table","foreign_column","constraint_name"
"public.course_enrollments","course_id","public.courses","id","course_enrollments_course_id_fkey"
"public.course_enrollments","user_id","public.users","id","course_enrollments_user_id_fkey"
"public.user_media","user_id","public.users","id","user_media_user_id_fkey"
"public.step_completions","step_id","public.course_steps","id","step_completions_step_id_fkey"
"public.step_completions","user_id","public.users","id","step_completions_user_id_fkey"
"public.course_progress","course_id","public.courses","id","course_progress_course_id_fkey"
"public.course_progress","user_id","public.users","id","course_progress_user_id_fkey"
"public.quiz_submissions","quiz_id","public.quizzes","id","quiz_submissions_quiz_id_fkey"
"public.instructor_groups","group_id","public.course_groups","id","instructor_groups_group_id_fkey"
"public.instructor_groups","instructor_id","public.users","id","instructor_groups_instructor_id_fkey"
"public.courses","created_by","public.users","id","courses_created_by_fkey"
"public.course_weeks","course_id","public.courses","id","course_weeks_course_id_fkey"
"public.course_days","week_id","public.course_weeks","id","course_days_week_id_fkey"
"public.quizzes","step_id","public.course_steps","id","quizzes_step_id_fkey"
"public.quiz_questions","quiz_id","public.quizzes","id","quiz_questions_quiz_id_fkey"
"public.quiz_answers","question_id","public.quiz_questions","id","quiz_answers_question_id_fkey"
"public.course_steps","day_id","public.course_days","id","course_steps_day_id_fkey"
"public.course_steps","quiz_id","public.quizzes","id","course_steps_quiz_id_fkey"
"public.course_groups","course_id","public.courses","id","course_groups_course_id_fkey"
"public.group_messages","group_id","public.course_groups","id","group_messages_group_id_fkey"
"public.group_messages","sender_id","public.users","id","group_messages_sender_id_fkey"
"public.group_members","group_id","public.course_groups","id","group_members_group_id_fkey"
"public.group_members","user_id","public.users","id","group_members_user_id_fkey"
"public.user_notes","step_id","public.course_steps","id","user_notes_step_id_fkey"
"public.user_notes","user_id","public.users","id","user_notes_user_id_fkey"
"public.media_files","uploader_id","public.users","id","media_files_uploader_id_fkey"
"public.course_media","media_id","public.media_files","id","course_media_media_id_fkey"
"public.flashcards","step_id","public.course_steps","id","flashcards_step_id_fkey"
"public.matching_game_words","step_id","public.course_steps","id","matching_game_words_step_id_fkey"
"public.instructor_students","course_id","public.courses","id","instructor_students_course_id_fkey"
"public.instructor_students","instructor_id","public.users","id","instructor_students_instructor_id_fkey"
"public.instructor_students","student_id","public.users","id","instructor_students_student_id_fkey"