"trigger_name","table_name","trigger_level","trigger_timing","trigger_event","trigger_function"
"update_course_enrollments_updated_at","public.course_enrollments","ROW","BEFORE","DELETE","update_updated_at_column"
"update_course_groups_updated_at","public.course_groups","ROW","BEFORE","DELETE","update_updated_at_column"
"update_course_steps_updated_at","public.course_steps","ROW","BEFORE","DELETE","update_updated_at_column"
"update_courses_updated_at","public.courses","ROW","BEFORE","DELETE","update_updated_at_column"
"update_flashcards_updated_at","public.flashcards","ROW","BEFORE","DELETE","update_updated_at_column"
"group_membership_changes_trigger","public.group_members","ROW","AFTER","DELETE","handle_group_membership_changes"
"group_membership_removal_trigger","public.group_members","ROW","null","INSERT","handle_group_membership_removal"
"instructor_group_member_trigger","public.group_members","ROW","AFTER","null","handle_instructor_group_member"
"update_group_messages_updated_at","public.group_messages","ROW","BEFORE","DELETE","update_updated_at_column"
"after_instructor_group_insert","public.instructor_groups","ROW","AFTER","null","add_group_students_to_instructor"
"update_instructor_students_updated_at","public.instructor_students","ROW","BEFORE","DELETE","update_updated_at_column"
"update_matching_game_words_updated_at","public.matching_game_words","ROW","BEFORE","DELETE","update_updated_at_column"
"update_media_files_updated_at","public.media_files","ROW","BEFORE","DELETE","update_updated_at_column"
"handle_updated_at","public.profiles","ROW","BEFORE","DELETE","handle_updated_at"
"after_step_completion_change","public.step_completions","ROW","AFTER","INSERT","update_progress_on_step_completion"
"update_user_media_updated_at","public.user_media","ROW","BEFORE","DELETE","update_updated_at_column"
"update_user_notes_updated_at","public.user_notes","ROW","BEFORE","DELETE","update_updated_at_column"
"protect_role_changes","public.users","ROW","BEFORE","DELETE","check_role_update"
"update_users_updated_at","public.users","ROW","BEFORE","DELETE","update_updated_at_column"